tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,sentiment,weighted_score,features
tt5341918,tvEpisode,Top Ten Movies of 2015,Top Ten Movies of 2015,0,2015.0,30.0,News,7.6,25,0.25,6.91104552732427,News 2015.0
tt0023211,movie,Mensch ohne Namen,Mensch ohne Namen,0,1932.0,87.0,Drama,6.4,7,0.0,6.862101573187416,Drama 1932.0
tt0075338,movie,Tokyo Emmanuelle fujin,Tokyo Emmanuelle fujin,0,1975.0,70.0,Drama,5.3,31,0.0,6.761454718495883,Drama 1975.0
tt0037578,movie,Caravan,Caravan,0,1946.0,117.0,"Adventure,Drama,Romance",6.1,140,0.0,6.67669026631658,Adventure Drama Romance 1946.0
tt2417932,tvEpisode,The Fort,The Fort,0,2012.0,30.0,"Comedy,Documentary",9.7,14,0.0,6.961558260658915,Comedy Documentary 2012.0
tt2215304,movie,This Time Tomorrow,This Time Tomorrow,0,2012.0,82.0,"Drama,Romance",7.6,21,0.0,6.904768037823809,Drama Romance 2012.0
tt6557724,movie,Killer Island,Killer Island,0,2018.0,86.0,Thriller,4.5,48,0.0,6.625736413314702,Thriller 2018.0
tt0605972,tvEpisode,Episode #2.7,Episode #2.7,0,1992.0,52.0,Drama,7.5,13,0.0,6.888847258943507,Drama 1992.0
tt0218124,tvMovie,Crime and Punishment,Crime et châtiment,0,1971.0,102.0,Drama,6.0,5,0.0,6.859558318214306,Drama 1971.0
tt0956674,tvEpisode,Episode #1.6,Episode #1.6,0,2007.0,30.0,Drama,3.0,8,0.0,6.797167062452234,Drama 2007.0
tt5618212,movie,Paul Kalkbrenner 2010 a Live Documentary,Paul Kalkbrenner 2010 a Live Documentary,0,2010.0,30.0,"Documentary,Music",7.8,17,0.06818181818181818,6.906191192194601,Documentary Music 2010.0
tt0071871,movie,La muerte del escorpión,La muerte del escorpión,0,1976.0,90.0,"Crime,Thriller",4.5,11,0.0,6.809074985092427,Crime Thriller 1976.0
tt4110822,tvEpisode,S.O.S. Part 2,S.O.S. Part 2,0,2015.0,43.0,"Action,Adventure,Drama",9.4,3820,0.0,9.150446712742959,Action Adventure Drama 2015.0
tt2396200,movie,Richard The Lionheart,Richard the Lionheart,0,2013.0,100.0,"Action,Adventure",2.3,673,0.0,4.0508644991793314,Action Adventure 2013.0
tt0336309,tvMovie,Una donna in fuga,Una donna in fuga,0,1996.0,191.0,Drama,7.0,5,0.0,6.8713786491835736,Drama 1996.0
tt8399426,tvEpisode,Savages,Savages,0,2018.0,58.0,"Drama,Fantasy,Romance",9.0,1428,0.0,8.517656104336215,Drama Fantasy Romance 2018.0
